,id,home_label,home_lat,home_lon,state
599094,7588072.0,8a2651caa02ffff,38.028,-92.701,Missouri
599095,7588079.0,8a446b392777fff,32.177,-94.69,Texas
599096,7588081.0,8a26756ec54ffff,40.662,-90.444,Illinois
599097,7588088.0,8a27590ddccffff,42.16,-88.439,Illinois
599098,7588089.0,8a446cace42ffff,29.837,-95.549,Texas
599099,7588092.0,8a445ca86727fff,32.257,-90.304,Mississippi
599100,7588093.0,8a2aac496ba7fff,40.009,-76.726,Pennsylvania
599101,7588096.0,8a44f6d56db7fff,29.059,-80.936,Florida
599102,7588099.0,8a29a5490377fff,33.565,-117.688,California
599103,7588104.0,8a26c8458b5ffff,33.196,-97.141,Texas
599104,7588107.0,8a2b89c59707fff,42.897,-73.908,New York
599105,7588118.0,8a26400a0b27fff,38.325,-89.871,Illinois
599106,7588123.0,8a4442828587fff,30.751,-90.555,Louisiana
599107,7588124.0,8a262cd040f7fff,44.906,-93.372,Minnesota
599108,7588150.0,8a446cac9d5ffff,29.859,-95.596,Texas
599109,7588161.0,8a48d884935ffff,35.247,-106.67,New Mexico
599110,7588169.0,8a265a4cc94ffff,35.398,-93.259,Arkansas
599111,7588172.0,8a2a9cc50677fff,38.795,-82.276,Ohio
599112,7588178.0,8a44dbc5e80ffff,35.814,-80.864,North Carolina
599113,7588194.0,8a2a9409d2d7fff,41.05,-83.68,Ohio
599114,7588196.0,8a2aa4b260d7fff,42.665,-76.21,New York
599115,7588197.0,8a48b174182ffff,26.416,-99.015,Texas
599116,7588199.0,8a2a33152617fff,41.819,-71.469,Rhode Island
599117,7588208.0,8a2aac50ea27fff,40.081,-76.331,Pennsylvania
599118,7588210.0,8a268cd8d02ffff,39.696,-104.991,Colorado
599119,7588275.0,8a266270e8dffff,40.145,-89.377,Illinois
599120,7588277.0,8a44a9026bb7fff,28.397,-81.365,Florida
599121,7588283.0,8a2a1079bd27fff,40.668,-74.372,New Jersey
599122,7588288.0,8a2a9248ace7fff,39.964,-86.105,Indiana
599123,7588304.0,8a44c1a8565ffff,33.738,-84.39,Georgia
599124,7588314.0,8a2a10aa4997fff,40.802,-73.385,New York
599125,7588321.0,8a2a9ba0bbaffff,36.546,-82.596,Tennessee
599126,7588327.0,8a48996ae38ffff,31.839,-99.089,Texas
599127,7588336.0,8a48830e515ffff,29.201,-99.796,Texas
599128,7588338.0,8a266a133c17fff,38.001,-87.488,Indiana
599129,7588348.0,8a445b02c09ffff,34.355,-89.589,Mississippi
599130,7588383.0,8a2a9308c95ffff,39.138,-84.578,Ohio
599131,7588395.0,8a44ed0e37a7fff,32.962,-87.602,Alabama
599132,7588404.0,8a2af29ac4b7fff,36.708,-76.664,Virginia
599133,7588418.0,8a264e01c6affff,36.464,-89.04,Tennessee
599134,7588424.0,8a2a1042e457fff,40.975,-74.262,New Jersey
599135,7588427.0,8a2ab3b92907fff,41.332,-81.674,Ohio
599136,7588444.0,8a5d1448d537fff,20.894,-156.495,Hawaii
599137,7588455.0,8a29a18e0707fff,34.198,-118.632,California
599138,7588469.0,8a2a30409b1ffff,42.783,-71.291,New Hampshire
599139,7588488.0,8a2986bac187fff,36.078,-115.245,Nevada
599140,7588516.0,8a2a31410acffff,41.95,-70.667,Massachusetts
599141,7588520.0,8a2a8c8830cffff,38.198,-78.39,Virginia
599142,7588522.0,8a44da2c34cffff,35.751,-80.223,North Carolina
599143,7588523.0,8a26de79c48ffff,33.616,-101.906,Texas
599144,7588529.0,8a29a0aee06ffff,34.012,-117.812,California
599145,7588532.0,8a44e24f072ffff,30.855,-83.276,Georgia
599146,7588536.0,8a29a18b66a7fff,34.13,-118.362,California
599147,7588541.0,8a2ad5514b67fff,34.889,-77.254,North Carolina
599148,7588545.0,8a44f1781cc7fff,31.286,-82.315,Georgia
599149,7588546.0,8a2aacb8ed37fff,39.874,-75.499,Pennsylvania
599150,7588552.0,8a44f4cec317fff,29.004,-81.978,Florida
599151,7588561.0,8a2a100ca857fff,40.673,-73.886,New York
599152,7588570.0,8a268cd82157fff,39.726,-105.092,Colorado
599153,7588574.0,8a26c9d692d7fff,33.034,-95.701,Texas
599154,7588585.0,8a44a924170ffff,28.963,-81.651,Florida
599155,7588592.0,8a44cccb0d27fff,34.04,-84.548,Georgia
599156,7588593.0,8a28b613120ffff,41.619,-112.131,Utah
599157,7588600.0,8a2a924d10f7fff,39.892,-86.024,Indiana
599158,7588606.0,8a489ab50917fff,31.023,-97.747,Texas
599159,7588631.0,8a2b9931bd87fff,43.159,-77.6,New York
599160,7588660.0,8a291369ec17fff,34.933,-120.442,California
599161,7588666.0,8a2642a5a11ffff,37.839,-90.421,Missouri
599162,7588691.0,8a2659a7054ffff,35.06,-89.906,Tennessee
599163,7588701.0,8a44a1145647fff,25.866,-80.267,Florida
599164,7588704.0,8a44c166c29ffff,34.095,-84.025,Georgia
599165,7588713.0,8a2a33ab276ffff,41.725,-71.296,Rhode Island
599166,7588721.0,8a2665148a87fff,40.743,-86.089,Indiana
599167,7588730.0,8a2a8954caa7fff,36.307,-78.579,North Carolina
599168,7588737.0,8a2a8dd45597fff,37.518,-77.681,Virginia
599169,7588740.0,8a264b692b0ffff,34.282,-88.801,Mississippi
599170,7588760.0,8a266d414107fff,38.332,-85.468,Kentucky
599171,7588762.0,8a444504ec27fff,30.546,-92.814,Louisiana
599172,7588771.0,8a29a40d1a77fff,33.014,-117.202,California
599173,7588780.0,8a2748402b27fff,42.816,-85.995,Michigan
599174,7588787.0,8a28f41767b7fff,44.405,-122.685,Oregon
599175,7588801.0,8a44e5436a2ffff,30.125,-85.583,Florida
599176,7588804.0,8a26c8359477fff,32.982,-96.327,Texas
599177,7588806.0,8a26ed780a2ffff,36.057,-94.197,Arkansas
599178,7588809.0,8a444548a247fff,30.529,-92.025,Louisiana
599179,7588813.0,8a44c10596c7fff,33.842,-84.179,Georgia
599180,7588823.0,8a44a82a39a7fff,28.062,-80.621,Florida
599181,7588838.0,8a2aaca8535ffff,39.76,-75.56,Delaware
599182,7588845.0,8a260ba4a94ffff,39.761,-94.825,Missouri
599183,7588847.0,8a264b600d9ffff,34.334,-88.552,Mississippi
599184,7588854.0,8a44a131b8e7fff,26.182,-80.279,Florida
599185,7588862.0,8a260a664d37fff,40.265,-96.727,Nebraska
599186,7588871.0,8a29a00e6937fff,34.05,-117.25,California
599187,7588881.0,8a264d2402e7fff,35.51,-86.437,Tennessee
599188,7588908.0,8a274ca6cd07fff,43.603,-84.097,Michigan
599189,7588909.0,8a44d1029a27fff,33.366,-81.03,South Carolina
599190,7588914.0,8a2640cf110ffff,38.57,-90.043,Illinois
599191,7588938.0,8a446c2ad6dffff,30.077,-95.254,Texas
