,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
0,7586682,4,53,10.6,13,0.03678745787257386,0.0024697227863667683,71.47672222222222,5,0.0586363014307391,"(33.50181427778255, -82.24440812974329)",53
1,7586682,1,77,25.666666666666668,12,1.7730345944163743,0.07947666232838665,254.0124074074074,3,191.91201417139075,"(34.5597530585586, -80.59930606326657)",0
2,7586682,5,10,5.0,6,0.017431718651593743,0.0008874493867863449,21.668333333333337,2,178.67526163558432,"(35.102944535751014, -82.41184210877765)",0
3,7586682,2,4,4.0,3,7.588278027899039,0,17.115,1,193.50329561169573,"(34.74364459043074, -80.7720534236284)",0
4,7586682,3,37,37.0,7,0.019633302675445004,0.0011356690327608654,391.1327777777778,1,166.4266138704936,"(34.233181418735334, -80.67214178738837)",0
5,7586682,0,42,21.0,9,10.495341832937552,0.8972097267919698,353.74097222222224,2,194.46368251153734,"(34.770085630544585, -80.78987907638749)",0
0,7586692,1,16,8.0,6,17.615013696794307,1.0636702744474726,78.49041666666666,2,13.043104425487144,"(29.863166712410855, -94.77954365979845)",13
1,7586692,3,12,12.0,8,21.087792084825708,0.463127375491545,246.2425,1,8.40532570766022,"(29.942009435304204, -94.87150671859496)",5
2,7586692,0,37,9.25,9,10.9003211330428,0.796427632206463,88.68020833333334,4,21.187783072904764,"(30.04799173545331, -94.8193314281802)",2
3,7586692,2,20,6.666666666666667,8,4.56143896544734,0.35971913012235684,461.20166666666665,3,40.59831640587275,"(30.157457132131245, -94.64541043500213)",0
4,7586692,4,12,4.0,9,0.07345180247445206,0.0020590042287885676,13.072592592592592,3,0.41695249405516566,"(29.879699585017047, -94.91329503350367)",12
5,7586692,5,31,2.8181818181818183,8,5.274737819148194,0.5040282290258116,12.77512626262626,11,4.417848588490046,"(29.901869222521494, -94.87921914833612)",29
6,7586692,6,53,5.888888888888889,8,0.5714252093073974,0.003713253936366649,60.74962962962963,9,0.049779611323942416,"(29.875996337844814, -94.91348372623217)",52
0,7586703,3,115,7.1875,19,0.710003803416563,0.10910150321357548,22.705937499999997,16,0.552862238832201,"(40.77396008940335, -81.45354565888489)",109
1,7586703,1,85,5.3125,18,0.14917031085443608,0.002627549989871465,19.313975694444444,16,2.1342534373398676,"(40.78819372845734, -81.4539296963798)",0
2,7586703,2,64,10.666666666666666,24,5.236530628962192,1.2847285362481915,79.40787037037038,6,3.13136704769735,"(40.74998331423269, -81.42657872031636)",0
3,7586703,4,4,4.0,3,0.012137181694835944,0,4.2825,1,33.82587450853483,"(40.52195299727505, -81.22005876408146)",0
4,7586703,0,103,17.166666666666668,24,5.035148110240985,0.9836858916223713,319.5659259259259,6,34.24227885561988,"(41.064577981500754, -81.5683434295819)",0
0,7586707,3,89,8.9,16,0.7458972766189677,0.1375065522637381,36.13661111111112,10,0.5549181544319041,"(33.61441149039394, -79.06264360702276)",86
1,7586707,0,39,3.5454545454545454,11,2.3641872236653763,0.17190282203976512,48.91742424242425,11,2.129664377472698,"(33.61263975181631, -79.04330654669921)",2
2,7586707,4,15,15.0,13,1.0476405259484933,0.07455944336866856,507.7111111111111,1,6.355859802985328,"(33.58446552433291, -79.0103146268472)",0
3,7586707,2,81,40.5,23,18.616593779882216,2.6071239926373915,641.0681944444444,2,122.179893342248,"(34.6109396962234, -79.63590721008948)",0
4,7586707,1,3,3.0,3,0.01477825642412744,0,3.7169444444444446,1,7.780946973596574,"(33.57567909928751, -78.9990250272007)",0
0,7586713,1,11,5.5,5,0.06196037278467043,0.0007895520695063507,30.422916666666666,2,20.89640414788472,"(42.27191875615937, -85.13644688055386)",0
1,7586713,4,61,12.2,16,8.02663430225783,0.5354744184824285,106.2983888888889,5,7.3498674560170985,"(42.377788670805344, -85.36187940706053)",54
2,7586713,3,13,4.333333333333333,7,0.11791114628486174,0.00563739314866545,6.037962962962962,3,17.59324287316395,"(42.276321186867804, -85.3826490610736)",0
3,7586713,6,19,4.75,9,5.001377239874991,0.22248130921849923,53.50395833333333,4,16.81846361145688,"(42.57043529566551, -85.31428961567589)",0
4,7586713,0,48,12.0,9,3.513562201456689,0.21102643022542045,97.42805555555555,4,29.159438059717008,"(42.223758368415126, -85.52826289373165)",0
5,7586713,2,7,7.0,6,1.0319982826063223,0.06402392027481295,21.858055555555556,1,14.278804078527818,"(42.304372484931825, -85.2174050477249)",0
6,7586713,5,11,5.5,5,26.930248535604978,0.8607897940877719,35.89930555555556,2,15.040635263929019,"(42.296789146941784, -85.36853386423432)",0
7,7586713,7,20,10.0,10,2.3850038232448876,0.12053787252108265,138.97986111111112,2,13.4281984340467,"(42.32374706580365, -85.19428199256214)",0
0,7586714,0,6,6.0,4,0.013855198068568879,0,13.239166666666666,1,37.00144779570119,"(30.53804681622903, -81.8395617486429)",0
1,7586714,1,51,25.5,10,0.027343624954877153,0.0015998221939894732,319.7033333333333,2,27.962230721666486,"(30.226370947679428, -81.58114663355488)",0
2,7586714,2,123,41.0,11,0.21911154219484366,0.0014568958040723952,758.2400000000001,3,0.04495669397005073,"(30.457387265904643, -81.46486527126243)",122
3,7586714,4,9,9.0,6,15.468336332137397,0.0008420163471179046,286.96166666666664,1,36.99851121154391,"(30.537793115711974, -81.83960348026996)",0
4,7586714,3,4,4.0,4,0.09300684927782674,0,20.88888888888889,1,62.91194643681945,"(29.911390665706147, -81.29178599951342)",0
0,7586746,0,8,4.0,4,0.8388922659787369,0,88.22263888888888,2,1.5754595150632837,"(33.666952922160135, -117.92195778207778)",4
1,7586746,1,66,6.0,9,8.751022185417927,0.3476014189680136,202.04467171717172,11,6.263109649874302,"(33.70878929295975, -117.90968246282867)",8
2,7586746,2,98,10.88888888888889,7,0.02518195246326164,0.0014540423555596282,67.92716049382717,9,0.06864238479122244,"(33.65244545254213, -117.91932581466646)",98
3,7586746,3,5,2.5,3,0.019711854751412197,0,8.688194444444445,2,15.117210893005314,"(33.781466815609676, -117.8655133165196)",0
4,7586746,4,11,11.0,5,0.02238770012516188,0.0011488742495254231,41.94222222222222,1,4.210043017355241,"(33.690772336374586, -117.92212611602572)",0
0,7586747,0,54,54.0,14,0.5256423060744859,0.021969110175022274,760.7608333333334,1,59.80740385434751,"(38.30354609319944, -77.47688694958914)",0
1,7586747,4,30,30.0,13,0.7498380804206568,0.10890371145544823,112.90055555555556,1,564.2659451691069,"(33.82482380666726, -78.66302486076107)",0
2,7586747,3,134,67.0,14,0.03391094251001644,0.0027533815695911477,293.7181944444444,2,0.01563416586925816,"(38.732864710976465, -77.06295092277803)",134
3,7586747,1,4,4.0,4,0.6312110230678025,0,32.53388888888889,1,59.71491215300122,"(38.303143273852754, -77.47443096897958)",0
4,7586747,2,18,18.0,6,139.82601378122175,8.231076086878431,1182.0630555555556,1,337.8685445419355,"(35.69448342922217, -77.05410622371215)",0
0,7586756,0,92,4.181818181818182,10,0.023976553377168686,0.0018602247481773438,21.96443181818182,22,0.020625357811926606,"(44.0491847975171, -91.62597774822767)",92
1,7586756,1,40,2.5,6,1.6766752886482963,0.0007589926590641387,14.644618055555554,16,13.339317575688456,"(43.960656764221746, -91.73883265035808)",5
2,7586756,3,19,1.9,6,8.435032233091775,0.5371924318576455,106.66041666666668,10,7.0237806310446045,"(43.99123606595461, -91.66154479099822)",17
3,7586756,4,17,17.0,11,0.5533897118404902,0.002638839983537949,36.85,1,289.82500822292764,"(42.86750885005138, -88.42491258979618)",0
4,7586756,5,7,7.0,3,0.010672564566484449,0,25.52861111111111,1,150.25628866208737,"(43.61187951102179, -89.85349816440826)",0
5,7586756,2,18,18.0,6,0.017931699882491214,0.001069703151803846,502.48583333333335,1,6.842328036041132,"(43.98770851422404, -91.61840212519468)",0
0,7586761,0,122,30.5,22,0.04677880929150363,0.0050887922294008,82.00229166666668,4,0.07347224408020994,"(39.04866073545409, -76.57699402180985)",122
